id,first_name,last_name,party,state,type,website
S000929,Victoria,Spartz,Republican,IN,rep,https://spartz.house.gov/media/press-releases
M000871,Tracey,Mann,Republican,KS,rep,https://mann.house.gov/media/press-releases
A000148,Jake,Auchincloss,Democrat,MA,rep,https://auchincloss.house.gov/media/press-releases
M001136,Lisa,McClain,Republican,MI,rep,https://mcclain.house.gov/press-releases
F000470,Michelle,Fischbach,Republican,MN,rep,https://fischbach.house.gov/press-releases
R000305,Deborah,Ross,Democrat,NC,rep,https://deborahross.com/updates/
L000273,Teresa,Leger Fernandez,Democrat,NM,rep,https://fernandez.house.gov/news/documentquery.aspx?DocumentTypeID=27
G000597,Andrew,Garbarino,Republican,NY,rep,https://garbarino.house.gov/media/press-releases
M000317,Nicole,Malliotakis,Republican,NY,rep,https://malliotakis.house.gov/media/press-releases
T000486,Ritchie,Torres,Democrat,NY,rep,https://ritchietorres.house.gov/press
B000740,Stephanie,Bice,Republican,OK,rep,https://bice.house.gov/media/press-releases
B000668,Cliff,Bentz,Republican,OR,rep,https://bentz.house.gov/media/press-releases
M000194,Nancy,Mace,Republican,SC,rep,https://mace.house.gov/media/press-releases
H001086,Diana,Harshbarger,Republican,TN,rep,https://harshbarger.house.gov/media/press-releases
F000246,Patrick,Fallon,Republican,TX,rep,https://fallon.house.gov/news/documentquery.aspx?DocumentTypeID=27
P000048,August,Pfluger,Republican,TX,rep,https://pfluger.house.gov/news/documentquery.aspx?DocumentTypeID=27
J000304,Ronny,Jackson,Republican,TX,rep,https://jackson.house.gov/news/documentquery.aspx?DocumentTypeID=27
N000026,Troy,Nehls,Republican,TX,rep,https://nehls.house.gov/media/press-releases
G000594,Ernest,Gonzales,Republican,TX,rep,https://gonzales.house.gov/press-releases
V000134,Beth,Van Duyne,Republican,TX,rep,https://vanduyne.house.gov/press-releases
M001213,Blake,Moore,Republican,UT,rep,https://blakemoore.house.gov/media/press-releases
O000086,Clarence,Owens,Republican,UT,rep,https://owens.house.gov/resources/press
S001159,Marilyn,Strickland,Democrat,WA,rep,https://strickland.house.gov/category/press_release/
F000471,Scott,Fitzgerald,Republican,WI,rep,https://fitzgerald.house.gov/media/press-releases
P000145,Alejandro,Padilla,Democrat,CA,sen,https://www.padilla.senate.gov/newsroom/press-releases/
O000174,Jon,Ossoff,Democrat,GA,sen,https://www.ossoff.senate.gov/press-releases/
W000790,Raphael,Warnock,Democrat,GA,sen,https://www.warnock.senate.gov/newsroom/press-releases/
T000478,Claudia,Tenney,Republican,NY,rep,https://tenney.house.gov/media/press-releases
L000595,Julia,Letlow,Republican,LA,rep,https://letlow.house.gov/media/press-releases
C001125,Troy,Carter,Democrat,LA,rep,https://troycarter.house.gov/media/press-releases
S001218,Melanie,Stansbury,Democrat,NM,rep,https://stansbury.house.gov/media/press-releases
E000071,Jake,Ellzey,Republican,TX,rep,https://ellzey.house.gov/press-releases
B001313,Shontel,Brown,Democrat,OH,rep,https://shontelbrown.house.gov/media/press-releases
C001126,Mike,Carey,Republican,OH,rep,https://carey.house.gov/?page_id=659
C001127,Sheila,Cherfilus-McCormick,Democrat,FL,rep,https://cherfilus-mccormick.house.gov/media/press-releases
F000474,Mike,Flood,Republican,NE,rep,https://flood.house.gov/media/press-releases
F000475,Brad,Finstad,Republican,MN,rep,https://finstad.house.gov/press-releases
R000579,Patrick,Ryan,Democrat,NY,rep,https://patryan.house.gov/media/press-releases
Y000067,Rudy,Yakym,Republican,IN,rep,https://yakym.house.gov/press
Z000018,Ryan,Zinke,Republican,MT,rep,https://zinke.house.gov/media/press-releases
B001319,Katie,Britt,Republican,AL,sen,https://www.britt.senate.gov/media/press-releases/
S001227,Eric,Schmitt,Republican,MO,sen,https://www.schmitt.senate.gov/media/press-releases/
F000479,John,Fetterman,Democrat,PA,sen,https://www.fetterman.senate.gov/press-release/
S001220,Dale,Strong,Republican,AL,rep,https://strong.house.gov/media/press-releases
C001132,Eli,Crane,Republican,AZ,rep,https://crane.house.gov/media/
C001133,Juan,Ciscomani,Republican,AZ,rep,https://ciscomani.house.gov/media/press-releases
K000401,Kevin,Kiley,Republican,CA,rep,https://kiley.house.gov/
M001225,Kevin,Mullin,Democrat,CA,rep,https://kevinmullin.house.gov/media/
K000400,Sydney,Kamlager-Dove,Democrat,CA,rep,https://kamlager-dove.house.gov/media/press-releases
G000598,Robert,Garcia,Democrat,CA,rep,https://robertgarcia.house.gov/media/press-releases
P000620,Brittany,Pettersen,Democrat,CO,rep,https://pettersen.house.gov/news/documentquery.aspx?DocumentTypeID=27
B001314,Aaron,Bean,Republican,FL,rep,https://bean.house.gov/media/press-releases
M001216,Cory,Mills,Republican,FL,rep,https://mills.house.gov/media/press-releases
F000476,Maxwell,Frost,Democrat,FL,rep,https://frost.house.gov/media/press-releases
L000596,Anna,Luna,Republican,FL,rep,https://luna.house.gov/
L000597,Laurel,Lee,Republican,FL,rep,https://laurellee.house.gov/media/press-releases
M001217,Jared,Moskowitz,Democrat,FL,rep,https://moskowitz.house.gov/press-releases
M001218,Rich,McCormick,Republican,GA,rep,https://mccormick.house.gov/media/press-releases
C001129,Mike,Collins,Republican,GA,rep,https://collins.house.gov/media/press-releases
M001219,James (Jim),Moylan,Republican,GU,rep,https://moylan.house.gov/media/press-releases
T000487,Jill,Tokuda,Democrat,HI,rep,https://tokuda.house.gov/media/press-releases
N000193,Zachary (Zach),Nunn,Republican,IA,rep,https://nunn.house.gov/category/news/press-releases/
J000309,Jonathan,Jackson,Democrat,IL,rep,https://jonathanjackson.house.gov/media/press-releases
R000617,Delia,Ramirez,Democrat,IL,rep,https://ramirez.house.gov/media/press-releases
B001315,Nicole (Nikki),Budzinski,Democrat,IL,rep,https://budzinski.house.gov/press
S001225,Eric,Sorensen,Democrat,IL,rep,https://sorensen.house.gov/media/press-releases
H001093,Erin,Houchin,Republican,IN,rep,https://houchin.house.gov/media/press-releases
M001220,Morgan,McGarvey,Democrat,KY,rep,https://mcgarvey.house.gov/media/press-releases
I000058,Glenn,Ivey,Democrat,MD,rep,https://ivey.house.gov/media/press-releases
S001221,Hillary,Scholten,Democrat,MI,rep,https://scholten.house.gov/media/press-releases
J000307,John,James,Republican,MI,rep,https://james.house.gov/news/documentquery.aspx?DocumentTypeID=27
T000488,Shri,Thanedar,Democrat,MI,rep,https://thanedar.house.gov/media/press-releases
A000379,Mark,Alford,Republican,MO,rep,https://alford.house.gov/news/documentquery.aspx?DocumentTypeID=27
B001316,Eric,Burlison,Republican,MO,rep,https://burlison.house.gov/media/press-releases
E000235,Mike,Ezell,Republican,MS,rep,https://ezell.house.gov/news/documentquery.aspx?DocumentTypeID=27
D000230,Donald,Davis,Democrat,NC,rep,https://dondavis.house.gov/media/press-releases
F000477,Valerie,Foushee,Democrat,NC,rep,https://foushee.house.gov/media/press-releases
E000246,Charles (Chuck),Edwards,Republican,NC,rep,https://edwards.house.gov/media/press-releases
K000398,Thomas,Kean,Republican,NJ,rep,https://kean.house.gov/media/press-releases
M001226,Robert,Menendez,Democrat,NJ,rep,https://menendez.house.gov/media/press-releases
V000136,Gabriel (Gabe),Vasquez,Democrat,NM,rep,https://vasquez.house.gov/media/press-releases
L000598,Nicolas,LaLota,Republican,NY,rep,https://lalota.house.gov/media/press-releases
G000599,Dan,Goldman,Democrat,NY,rep,https://goldman.house.gov/media/press-releases
L000599,Michael,Lawler,Republican,NY,rep,https://lawler.house.gov/news/documentquery.aspx?DocumentTypeID=27
L000600,Nicholas,Langworthy,Republican,NY,rep,https://langworthy.house.gov/media/press-releases
L000601,Greg,Landsman,Democrat,OH,rep,https://landsman.house.gov/resources
M001222,Max,Miller,Republican,OH,rep,https://maxmiller.house.gov/press-releases
S001223,Emilia,Sykes,Democrat,OH,rep,https://sykes.house.gov/media/press-releases
B001317,Josh,Brecheen,Republican,OK,rep,https://brecheen.house.gov/news/documentquery.aspx?DocumentTypeID=27
H001094,Valerie,Hoyle,Democrat,OR,rep,https://hoyle.house.gov/media/press-releases
S001226,Andrea,Salinas,Democrat,OR,rep,https://salinas.house.gov/media/press-releases
L000602,Summer,Lee,Democrat,PA,rep,https://summerlee.house.gov/resources/press
D000530,Chris,Deluzio,Democrat,PA,rep,https://deluzio.house.gov/media/press-releases
